message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,"The message is from a verified business and the user has an active order with the business, indicating a relevant and potentially important update.",0.78,message_0243;message_0102;message_0101
msg_091,mute,spam,The message is identical to previously flagged spam messages with different payment links,0.78,message_0238;message_0090;message_0144
msg_090,digest,personal,"The message is a personal inquiry with no urgency or direct mention, and the sender is not trusted, but it does not contain suspicious content",0.7,none
msg_048,mute,scam,"The message contains a suspicious QR code payment request with a sense of urgency, similar to previously flagged messages",0.78,message_0151;message_0237;message_0152
msg_040,mute,forward,High forward count (7) combined with chain-letter / blessing language — low-value forwarded content regardless of recipient's usual engagement.,0.93,none
msg_075,notify,event,"The message is from a business the user has an active order with, indicating a relevant and potentially time-sensitive update.",0.7,none
msg_005,notify,personal,"Sender trust and positive history with similar messages indicate a genuine personal transaction [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.73,message_0224;message_0065;message_0382
msg_104,notify,personal,The message contains a personal and time-sensitive request for the user to collect an item by a specific deadline.,0.7,none
msg_069,mute,forward,"The message is a repetitive, forwarded greeting with a request to share, indicating low value and potential spam.",0.78,message_0080;message_0123;message_0177
msg_107,mute,scam,Message contains OTP/account-verification phishing language typical of credential-theft attempts.,0.95,none
msg_070,mute,scam,Message contains OTP/account-verification phishing language typical of credential-theft attempts.,0.95,none
msg_003,notify,business_update,The message is a business update from a verified business regarding an active order of the user,0.78,message_0400;message_0031;message_0061
msg_099,notify,personal,Sender trust and positive history indicate a genuinely useful message,0.88,message_0227;message_0219
msg_008,digest,business_update,"The message is a routine review request from a verified business with an active order, but lacks strong trust and direct mention signals",0.78,message_0296;message_0072;message_0071
msg_092,digest,business_update,"The message is a routine business update from a verified business, but the sender is not trusted and there is no direct mention or urgent timing.",0.7,none
msg_060,notify,urgent,"The message is from a trusted sender with a matching positive history and contains time-sensitive information about an internship approval deadline. [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.73,message_0284;message_0210;message_0176
msg_004,notify,business_update,"The message is a business update from a verified business with which the user has an active order, indicating relevance and importance.",0.78,message_0246;message_0245;message_0005
msg_030,mute,promotion,"The message is a repetitive sales promotion with a low sender trust and no direct mention of the user. [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.63,message_0113;message_0115;message_0335
msg_045,notify,personal,"Sender trust and matching positive history indicate a genuine, time-sensitive delivery notification",0.88,message_0378;message_0384;message_0061
msg_052,mute,spam,"The message exhibits suspicious patterns similar to previous potentially spam messages, such as message_0208 and message_0207, and the sender is not trusted and flagged as risky.",0.78,message_0208;message_0207;message_0159
msg_009,digest,event,Sender trust and matching positive history outweigh the group mute,0.88,message_0074;message_0192
msg_071,digest,personal,"Sender trust and positive history suggest a genuine, non-urgent personal message",0.88,message_0046;message_0359
msg_016,mute,spam,"Message contains suspicious content with a sense of urgency and a link to a potentially phishing website, similar to previous messages",0.78,message_0024;message_0023;message_0045
msg_065,digest,business_update,"The message is a routine business update with a limited shopping benefit, and the user has an active order with the business, but the sender is not trusted and the message is similar to previous ones. [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.63,message_0260;message_0261
msg_038,mute,forward,High forward count (10) combined with chain-letter / blessing language — low-value forwarded content regardless of recipient's usual engagement.,0.93,none
msg_086,notify,urgent,"The message contains a time-sensitive update about a personal appointment, overriding other signals due to its urgent nature and the user's active order with the business.",0.7,none
msg_014,mute,promotion,The message is a repetitive promotion and the user has opted out of business messages from this sender.,0.78,message_0258;message_0018;message_0017
msg_094,digest,promotion,"Business is verified and not flagged as risky, but sender trust is low and there's no direct mention or active order",0.7,none
msg_029,mute,promotion,"The message is a repetitive sales promotion with a high forwarded count and similar historical messages [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.73,message_0113;message_0115;message_0095
msg_105,mute,spam,"Message is a repetitive, forwarded health tip with a suspicious request to share urgently.",0.78,message_0373;message_0233;message_0079
msg_002,notify,personal,Direct mention in a message from a trusted sender with a matching positive history,0.85,none
msg_010,digest,business_update,"The message is a routine business update with a verified business sender and an active order, but lacks personalization and direct mention",0.78,message_0011;message_0242;message_0075
msg_078,mute,scam,"Message contains suspicious content asking for sensitive bank details, consistent with historical evidence of similar phishing attempts",0.78,message_0199;message_0211;message_0385
msg_013,mute,promotion,"The message is a repetitive, low-value promotion with no personalization or direct mention.",0.78,message_0114;message_0116
msg_018,mute,spam,Message content matches known spam patterns and has a high forwarded count with no trusted sender or direct mention.,0.78,message_0026;message_0365;message_0213
msg_044,mute,scam,Message contains OTP/account-verification phishing language typical of credential-theft attempts.,0.95,none
msg_032,digest,event,Sender trust and matching positive history indicate a genuine request for academic resources,0.88,message_0119;message_0285
msg_106,notify,event,"Sender trust and matching positive history indicate a genuine, time-sensitive update",0.8,none
msg_006,notify,business_update,Sender trust and matching positive history indicate a genuine update,0.88,message_0097;message_0067;message_0029
msg_109,notify,urgent,"The message contains a time-sensitive, administrative notice with a specific deadline from a trusted sender.",0.88,message_0151
msg_108,mute,scam,Message contains OTP/account-verification phishing language typical of credential-theft attempts.,0.95,none
msg_019,mute,business_update,"The message is from an untrusted sender with a risky business flag and similar content to previous messages, indicating potential spam.",0.78,message_0277
msg_088,digest,business_update,"The message is a business update with a personal touch, but the sender is not trusted and the user has muted the group.",0.7,none
msg_056,notify,personal,"The message contains a direct @mention and is from a trusted sender with a matching positive history, indicating a genuinely urgent and personal update.",0.85,none
msg_027,mute,promotion,"The message is a repetitive, low-value promotion with no personalization or urgency, despite the user having an active order with the business. [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.63,message_0272;message_0033;message_0007
msg_050,digest,business_update,"The message is a routine business update with no direct mention or urgent timing, despite the user having an active order with the business.",0.78,message_0279;message_0278
msg_083,digest,business_update,Sender trust and matching positive history indicate a non-urgent but relevant business update.,0.88,message_0219
msg_063,mute,scam,"The message contains a suspicious request for payment with a sense of urgency and a request to send a screenshot, similar to known scam patterns in evidence messages",0.78,message_0238;message_0271;message_0385
msg_033,notify,personal,"Sender trust and positive history indicate a genuine, non-urgent personal message",0.88,message_0046;message_0197
msg_061,mute,spam,"The message is a repetitive, forwarded chain message with no personal or urgent content.",0.78,message_0080;message_0123;message_0177
msg_020,mute,spam,Message contains a suspicious link and resembles previous potentially spam messages,0.78,message_0025;message_0199;message_0238
msg_017,mute,promotion,"The message is a repetitive, low-value payment request with no direct mention or trusted sender history.",0.78,message_0025;message_0361;message_0238
msg_058,mute,spam,"Message is a forwarded, low-value, repetitive health tip with a suspicious call to action.",0.78,message_0016;message_0079;message_0131
msg_026,mute,scam,The message contains a suspicious link and the sender is not trusted and has been flagged as risky,0.78,message_0032
msg_047,notify,event,Sender trust and relevant positive history indicate a genuine update about lift maintenance,0.88,message_0001;message_0129;message_0057
msg_046,mute,scam,Message contains OTP/account-verification phishing language typical of credential-theft attempts.,0.95,none
msg_042,notify,urgent,The message contains a time-sensitive security alert that requires immediate attention from the user.,0.88,message_0216;message_0058;message_0130
msg_079,mute,scam,Message contains OTP/account-verification phishing language typical of credential-theft attempts.,0.95,none
msg_098,notify,urgent,"Sender trust and matching positive history indicate a genuinely urgent, personal message requiring immediate attention",0.8,none
msg_037,notify,urgent,Sender trust and time-sensitive content override other factors,0.8,none
msg_007,digest,event,"Sender trust and positive history signal a useful, non-urgent message",0.88,message_0008
msg_085,mute,scam,The message is flagged as risky due to its content matching a known scam pattern and the sender is untrusted and unverified.,0.7,none
